,Players,Values,Clubs,Logos,PlayerImages
0,Dominik Takac,2800000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/471164-1584957004.png
1,Martin Trnovsky,150000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/434073-1713529257.png
2,Matus Macik,125000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/381477-1701968229.png
3,Svetozar Markovic,2500000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/470790-1523875477.jpg
4,Kenan Bajric,1500000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/226793-1713529061.png
5,Kevin Wimmer,250000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/122675-1713529011.png
6,Sidoine Fogning,225000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/default.jpg
7,Guram Kashia,150000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/55972-1713528952.png
8,Sandro Cruz,1200000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/481627-1762335391.jpg
9,Sharani Zuberu,150000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/579631-1713530234.png
10,César Blackman,2500000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/440383-1713528857.png
11,Peter Pokorný,1500000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/490595-1696620755.png
12,Rahim Ibrahim,2000000,Slovan Bratislava,https://tmssl.akamaized.net//images/wappen/tiny/540.png?lm=1415023119,https://img.a.transfermarkt.technology/portrait/medium/711597-1713619509.png
